CustomerID,CustomerName,Payment History,CreditUtilization,SavingsHabit,LoanRepayment,InvestmentActivity,DigitalBanking,CustomerService
1001,Meera Bhat,55,76,76,87,63,64,63
1002,Kabir Chowdhury,58,46,63,56,76,58,50
1003,Aditya Chauhan,54,77,62,67,62,99,71
1004,Kavya Kumar,56,54,65,65,94,76,51
1005,Amit Kapoor,75,85,56,48,83,63,51
1006,Amit Mehta,58,43,51,81,58,79,91
1007,Meera Mishra,49,88,69,65,89,58,84
1008,Aarav Gupta,76,77,62,77,95,71,95
1009,Krishna Mehta,66,71,50,87,85,72,63
1010,Amit Patel,49,74,81,82,77,49,85
1011,Sai Yadav,64,79,73,86,61,67,66
1012,Saanvi Iyer,50,58,64,52,100,55,85
1013,Dev Mehta,64,63,40,90,71,71,84
1014,Aditya Malhotra,56,65,70,90,50,77,100
1015,Om Pillay,83,54,60,83,59,92,93
1016,Ananya Joshi,92,65,77,100,73,65,84
1017,Isha Agarwal,85,81,61,67,69,81,90
1018,Ananya Yadav,72,59,82,100,77,62,64
1019,Vivaan Sharma,75,83,53,52,79,76,75
1020,Dev Bhat,77,75,84,74,53,87,91
1021,Isha Sharma,71,66,65,55,85,86,78
1022,Kabir Shetty,43,80,49,71,78,69,85
1023,Rohan Bose,92,89,66,79,100,71,71
1024,Sai Gupta,74,81,42,77,72,68,64
1025,Neha Shetty,70,45,51,47,54,92,59
1026,Om Malhotra,56,78,98,61,46,81,50
1027,Reyansh Pandey,54,79,69,61,73,65,100
1028,Yash Mishra,61,45,77,65,73,58,66
1029,Pooja Pai,61,82,61,75,72,62,100
1030,Pari Singh,81,70,64,95,65,61,63
1031,Aryan Iyer,66,74,70,84,67,68,76
1032,Arjun Naidu,100,54,75,66,59,82,80
1033,Isha Sharma,100,64,67,79,100,73,86
1034,Pari Shetty,95,89,79,83,99,75,67
1035,Shreya Rao,78,70,64,75,85,65,62
1036,Ananya Chowdhury,66,70,64,72,79,97,43
1037,Kavya Malhotra,62,77,79,49,74,88,83
1038,Aryan Pandey,55,62,51,67,100,48,59
1039,Kiara Malhotra,65,86,73,76,51,21,88
1040,Rohan Patel,100,99,78,73,73,68,89
1041,Anjali Nair,85,68,72,54,78,50,76
1042,Vihaan Patel,69,61,68,76,94,84,69
